Id,Chapter,Part,Hebrew,English
nou-0l2ewemivjzn,9,Noun,דּוֹר,"generation (masc sing, fem plural)"
nou-vzw4gqwx3kg0,9,Noun,זֶ֫רַע,seed
nou-2ot6c4qnnmqf,9,Noun,מִדְבָּר,"desert, wilderness, wasteland"
nou-kp0jitmoj0k5,9,Noun,נָהָר,"river (masc sing, masc or fem plural)"
nou-4rjyrlu1ppgg,9,Noun,עֵץ,"tree, wood"
nou-z5exbxdqyqok,9,Noun,פַּרְעֹה,Pharaoh (king of Egypt)
nou-wuaz6a8gss78,9,Noun,שָׂדֶה,"field, country (masc)"
nou-fvi2d04hng2y,9,Noun,שֵׁם,name (masc)
nou-zx1rmrcukvy0,9,Noun,שָׁנָה,year (fem)
nou-ubvh63v92w6d,9,Noun,אֵלִיָּה,Elijah
nou-11si1hpzmypr,9,Noun,דָנִיֵּאל,Daniel
nou-91zv86m1imjr,9,Noun,רִבְקָה,Rebecca
nou-t4ijqxteo1ft,10,Noun,מִי,who? (personal interrogative pronoun)
nou-ph3aa9c2x2nw,10,Noun,מַה־◌ּ,what? (impersonal interrogative pronoun)
nou-w79b5nxsh56k,10,Noun,אוֹת,"sign, mark (masc sing and fem plural)"
nou-47ho3c3ucsrb,10,Noun,בַּד,solitude
nou-ya03l3b7jhxc,10,Noun,כִּסֵּא,"throne, chair (masc)"
nou-tolt5fuls85p,10,Noun,נַ֫עַר,lad
nou-qdrv0tfllko4,10,Noun,עֵת,"time, season"
nou-8dy77ilnhy93,10,Noun,שָׁלוֹם,"peace, well-being, wholeness"
nou-sgiwgjsqen55,10,Noun,שֶׁ֫מֶשׁ,sun (fem)
nou-ou2m0l2ewemi,10,Noun,תּוֹרָה,"instruction, law"
nou-vjznvzw4gqwx,11,Noun,יָרֵךְ,thigh
nou-3kg02ot6c4qn,11,Noun,כָּתֵף,shoulder
nou-nmqfkp0jitmo,11,Noun,בֶּ֫גֶד,garment
nou-j0k54rjyrlu1,11,Noun,בָּקָר,large cattle
nou-ppggz5exbxdq,11,Noun,בֹּ֫קֶר,morning
nou-yqokwuaz6a8g,11,Noun,חוֹמָה,wall
nou-ss78fvi2d04h,11,Noun,חוּץ,"street, outside (masc)"
nou-ng2yzx1rmrcu,11,Noun,יַ֫יִן,wine
nou-kvy0ubvh63v9,11,Noun,כָּנָף,"wing, skirt (fem)"
nou-2w6d11si1hpz,11,Noun,כְּרוּב,cherub
nou-mypr91zv86m1,11,Noun,מָ֫וֶת,death
nou-imjrt4ijqxte,11,Noun,מָטָר,rain
nou-o1ftph3aa9c2,11,Noun,מְלָאכָה,"mission, work"
nou-x2nww79b5nxs,11,Noun,נְאֻם,oracle
nou-h56k47ho3c3u,11,Noun,סֵ֫פֶר,"book, scroll, letter"
nou-csrbya03l3b7,11,Noun,עֵדָה,"council, counsel"
nou-jhxctolt5ful,11,Noun,עָפָר,dust
nou-s85pqdrv0tfl,11,Noun,צֹאן,"small cattle, flock, sheep and goats"
nou-lko48dy77iln,11,Noun,צָבָא,"host, army (both genders)"
nou-hy93sgiwgjsq,11,Noun,תָּ֫וֶךְ,midst
nou-en55ou2m0l2e,12,Noun,מִשְׁפָּחָה,family
nou-wemivjznvzw4,12,Noun,אַף,"nose, face, anger"
nou-gqwx3kg02ot6,12,Noun,חֵמָה,"heat, rage"
nou-c4qnnmqfkp0j,12,Noun,חֲצִי,"half, middle"
nou-itmoj0k54rjy,12,Noun,חָצֵר,court (masc)
nou-rlu1ppggz5ex,12,Noun,חֹק,statute
nou-bxdqyqokwuaz,12,Noun,חֻקָּה,statute
nou-6a8gss78fvi2,12,Noun,כֹּחַ,"strength, power"
nou-d04hng2yzx1r,12,Noun,מִגְדָּל,tower
nou-mrcukvy0ubvh,12,Noun,מִנְחָה,"gift, offering"
nou-63v92w6d11si,12,Noun,מִצְוָה,commandment
nou-1hpzmypr91zv,12,Noun,נֵ֫דֶר,vow
nou-86m1imjrt4ij,12,Noun,נֶ֫דֶר,vow
nou-qxteo1ftph3a,12,Noun,נַחֲלָה,inheritance
nou-a9c2x2nww79b,12,Noun,עֹז,strength
nou-5nxsh56k47ho,12,Noun,עַז,strong
nou-3c3ucsrbya03,12,Noun,עָנָן,cloud
nou-l3b7jhxctolt,12,Noun,רֵעַ,friend
nou-5fuls85pqdrv,12,Noun,רֵעֶה,"friend, companion"
nou-0tfllko48dy7,12,Noun,שֵׁן,"tooth, ivory"
nou-7ilnhy93sgiw,12,Noun,תִּפְאֶ֫רֶת,"glory, beauty, splendour"
nou-ljzevzx57hwx,12,Noun,מַחֲנֶה,"camp, army"
nou-3a7r2ft62vhn,13,Noun,אֹיֵב,enemy
nou-nmqfbg1a9knp,13,Noun,מִשְׁכָּן,tabernacle
nou-j0b6vikyilu2,13,Noun,שָׁכֵן,neighbour
nou-gph7q55obndg,13,Noun,עֳנִי,affliction
nou-ygokxvaq71y6,13,Noun,פַּר,young bull
nou-is7z5mi24q48,13,Noun,צָפוֹן,"north, Zaphon"
nou-e6syzy1hmrcl,13,Noun,קֶ֫דֶם,"east, antiquity, front"
nou-kwy0ucmh6tv9,13,Noun,רֹעֶה,shepherd
nou-tw63r1ii17gz,13,Noun,תֵּימָן,"south, Teman"
nou-dzfsas0v8wc1,13,Noun,יִרְאָה,fear
nou-8caiu49ahxte,14,Noun,אֹ֫רֶךְ,length
nou-f26jpi40103t,14,Noun,רֹ֫חַב,"width, breadth"
nou-x2eww702wdxj,14,Noun,בֹּ֫שֶׁת,shame
nou-h5xb4y8f33uu,14,Noun,מָגוֹר,sojourning [place]
nou-djrboar3b31x,14,Noun,גֵּר,sojourner
nou-a8ockolt56lm,15,Noun,בְּרָכָה,blessing
nou-s8vgrdhv0tfc,15,Noun,בֶּ֫רֶךְ,knee (fem)
nou-cbe4z4p8y9bd,15,Noun,תְּהִלָּה,"praise, song of praise"
nou-7p9ujg8mg9jq,15,Noun,מִסְפָּר,number
nou-ee5wfu3d0c25,15,Noun,פֹּ֫עַל,deed
nou-nfd9ljzevzx5,15,Noun,מִקְדָּשׁ,sanctuary
nou-7hwx3a7r2ft6,15,Noun,בָּשָׂר,flesh
nou-2vhnnmqfbg1a,15,Noun,נַ֫חַל,"stream, wadi"
nou-9knpj0b6viky,15,Noun,נְחֹ֫שֶׁת,"bronze, copper"
nou-ilu2gph7q55o,16,Noun,בְּכֹר,first-born
nou-bndgygokxvaq,16,Noun,כַּף,"palm, sole (fem)"
nou-71y6is7z5mi2,16,Noun,פֶּ֫תַח,"opening, entrance"
nou-4q48e6syzy1h,16,Noun,רֶ֫כֶב,chariotry
nou-mrclkwy0ucmh,16,Noun,מֶרְכָּבָה,chariot
nou-6tv9tw63r1ii,16,Noun,שֶׁ֫קֶר,"deception, falsehood"
nou-17gzdzfsas0v,16,Noun,יְשׁוּעָה,"deliverance, salvation"
nou-8wc18caiu49a,16,Noun,יֵ֫שַׁע,"deliverance, salvation"
nou-hxtef26jpi40,16,Noun,תְּשׁוּעָה,"deliverance, salvation"
nou-103tx2eww702,16,Noun,מַכָּה,"blow, strike"
nou-wdxjh5xb4y8f,16,Noun,צְעָקָה,cry
nou-33uudjrboar3,16,Noun,הִשְׁלִיךְ,"to throw, cast"
nou-b31xa8ockolt,16,Noun,מִשְׁתֶּה,banquet
nou-56lms8vgrdhv,17,Noun,יָמִין,"right side, right hand"
nou-0tfccbe4z4p8,17,Noun,לָשׁוֹן,tongue
nou-y9bd7p9ujg8m,17,Noun,שָׂפָה,"lip, edge, language"
nou-g9jqee5wfu3d,17,Noun,שִׁפְחָה,female servant
nou-0c25nfd9ljze,17,Noun,תּוֹעֵבָה,abomination
nou-vzx57hwx3a7r,17,Noun,שִׂנְאָה,hatred
nou-2ft62vhnnmqf,18,Noun,מָחֳרָת,"the morrow, the next day, time to come"
nou-bg1a9knpj0b6,18,Noun,מָחָר,"the morrow, time to come"
nou-vikyilu2gph7,18,Noun,עֶ֫צֶם,"bone, substance, self (fem)"
nou-q55obndgygok,18,Noun,עֶ֫רֶב,evening
nou-xvaq71y6is7z,18,Noun,תּוֹדָה,thanksgiving
nou-5mi24q48e6sy,18,Noun,כִּפֻּר,atonement
nou-zy1hmrclkwy0,18,Noun,קֶ֫בֶר,grave
nou-ucmh6tv9tw63,18,Noun,קְטֹ֫רֶת,incense
nou-r1ii17gzdzfs,18,Noun,שִׂמְחָה,joy
nou-as0v8wc18cai,18,Noun,שָׂרָף,Saraph (a winged cobra)
nou-u49ahxtef26j,19,Noun,חֵן,"grace, favour"
nou-pi40103tx2ew,19,Noun,עֵצָה,"counsel, plan, advice"
nou-w702wdxjh5xb,19,Noun,שֵׁ֫בֶט,"rod, tribe"
nou-4y8f33uudjrb,19,Noun,שַׁ֫עַר,gate
nou-oar3b31xa8oc,19,Noun,אֱמוּנָה,truth
nou-kolt56lms8vg,19,Noun,אָסִיר,prisoner
nou-rdhv0tfccbe4,19,Noun,חֵ֫לֶק,"portion, lot"
nou-z4p8y9bd7p9u,19,Noun,חֵ֫פֶץ,"desire, pleasure"
nou-jg8mg9jqee5w,19,Noun,מַחֲשָׁבָה,thought
nou-fu3d0c25nfd9,20,Noun,בְּהֵמָה,"wild animal, beast, cattle"
nou-ctp9bx2fldzw,20,Noun,חֲמוֹר,he-ass
nou-wvyoty9sr2vx,20,Noun,מִגְרָשׁ,pasture land
nou-s9ted0s70t3a,20,Noun,קָצֶה,"extremity, end"
nou-yypp8en6k6mz,20,Noun,שֶׂה,"lamb, kid"
nou-7zxt53j8fjhp,20,Noun,שַׂק,sack
nou-11gho4rbm9dq,20,Noun,שֶׁ֫מֶן,"oil, fat"
nou-wpb786azv0l3,20,Noun,זֹנָה,"prostitute, promiscuous woman"
nou-t4793k4qfc4i,20,Noun,חָזוֹן,vision
nou-b5ema91raqy8,20,Noun,נֶ֫גַע,"plague, stroke"
nou-v7y0ia84hfua,20,Noun,צוֹם,"fast, fasting"
nou-rvs02drsz62n,21,Noun,אַמָּה,cubit
nou-xao2yqcjjilb,21,Noun,אֱמֶת,"truth, reliability, firmness"
nou-6bw54gikew61,21,Noun,בָּמָה,high place (a sanctuary)
nou-qdftdgqxclc3,21,Noun,חֲלוֹם,dream (masc)
nou-l10j7j9cuckg,21,Noun,יֶ֫תֶר,"remainder, excess"
nou-sq6l2xu2eo3u,21,Noun,כֶּ֫בֶשׂ,young ram
nou-1heyzm0392ou,21,Noun,כֶּ֫שֶׂב,young ram
nou-utxdhm7ggruw,21,Noun,לוּחַ,tablet (masc)
nou-q7ic1pr5os1z,21,Noun,עֹ֫שֶׁר,wealth
nou-nweex3bv8ubn,21,Noun,מְנוּחָה,rest
nou-5nvr4s8w485d,21,Noun,שִׁיר,song
nou-pz56ctp9bx2f,22,Noun,אָ֫וֶן,"wickedness, trouble, sorrow"
nou-ldzwwvyoty9s,22,Noun,אֵ֫מֶר,"word, saying"
nou-r2vxs9ted0s7,22,Noun,בִּנַה,"understanding, perception"
nou-0t3ayypp8en6,22,Noun,בַּ֫עַל,"lord, master, husband, owner, Baal"
nou-k6mz7zxt53j8,22,Noun,גְּבוּל,"territory, boundary"
nou-fjhp11gho4rb,22,Noun,חֵיק,bosom
nou-m9dqwpb786az,22,Noun,צָרָה,distress
nou-v0l3t4793k4q,22,Noun,קֶ֫רֶב,"inward part, inner parts, middle, midst"
nou-fc4ib5ema91r,22,Noun,רַ֫חַם,"womb, mercy (fem)"
nou-aqy8v7y0ia84,22,Noun,רַחֲמִים,compassion
